Bank Code,Bank Full Name,Year,Classification,Number of Employees,Number of Branches,Labour productivity,Network productivity,Employees Ratio,Branches Ratio,Total Deposits,Total Shareholder's Equity,Total Loans,Loan Loss Provisions  ,Non-performing Loans  ,Total Fixed Assets,Liquid Assets,Total Assets,Total Deposits Ratio,Total Loans Ratio,Total Assets Ratio,Interest Expenses,Non-Interest Expenses,Personnel Expenses,Occupancy Expenses,Other Expenses,Total Operating Expenses,Core Cost,Total Cost,Core Cost Ratio,Total Cost Ratio,Interest Incomes,Non-Interest Income,Other Incomes,Total Income,Total Income Ratio,Equity Over Total Assets,Equity Over Total Deposits,Non-performing Loans Ratio,Loan Loss Provisions Ratio,Returns Over Assets,Returns Over Equity,Net Interest Margin,Cost-Income Ratios,Liquid Assets Over Total Assets,Liquid Assets Over Total Deposits,Cumulative Gaps Over Total Assets,Off-balance Sheet Activities,Profits Before Tax,Profits After Tax
TCB,Viet Nam Technological and Commercial Joint Stock Bank,2005,JSCB,1039,45,198.42,4581.24,0.02,0.01,6195072,1009405,5380036,86974,,148652,5224392,10753080,0.01,0.01,0.01,438961,178050,65734,7695,81406,154835,512390,617011,0.02,0.02,790227,107034,5817,903078,0.02,9.39,16.29,,1.62,1.92,20.42,6.72,68.32,48.59,84.33,15.44,1806480,286067,206156
TCB,Viet Nam Technological and Commercial Joint Stock Bank,2006,JSCB,1584,73,162.19,3519.26,0.02,0.02,9566043,1761687,8696101,27773,,338301,8319724,17354126,0.02,0.01,0.02,750056,255691,97835,12249,114096,224180,860140,1005747,0.02,0.02,1207503,185423,-30657,1362269,0.02,10.15,18.42,,0.32,1.48,14.58,5.5,73.83,47.94,86.97,12.03,2326057,356522,256906
TCB,Viet Nam Technological and Commercial Joint Stock Bank,2007,JSCB,2929,130,174.25,3926.03,0.03,0.03,24476576,3573416,19841131,8723874,,436970,27988269,48266370,0.03,0.02,0.03,1400728,455403,182240,23535,219606,425381,1606503,1856131,0.02,0.02,2326002,320756,-80887,2565871,0.02,7.4,14.6,,43.97,1.06,14.28,3.31,72.34,57.99,114.35,23.25,19111809,709740,510384
TCB,Viet Nam Technological and Commercial Joint Stock Bank,2008,JSCB,4224,169,280.09,7000.49,0.03,0,39617723,5625408,26343017,324032,,564262,32515715,59422994,0.03,0.02,0.03,4458034,976644,405506,42244,462761,910511,4905784,5434678,0.03,0.03,6218777,1443463,-611707,7050533,0.04,9.47,14.2,,1.23,1.99,21.03,5.42,77.08,54.72,82.07,32.22,11293902,1615855,1183083
TCB,Viet Nam Technological and Commercial Joint Stock Bank,2009,JSCB,5029,187,338.07,9091.81,0.04,0,62347400,7323826,42092767,512397,1048004,700901,50300233,93093901,0.04,0.03,0.04,4382546,1301147,594340,70386,519046,1183772,5047272,5683693,0.03,0.03,6882366,1535709,-481485,7936590,0.04,7.87,11.75,2.49,1.22,1.83,23.21,4.97,71.61,54.03,80.68,37.92,11618677,2252897,1700169
TCB,Viet Nam Technological and Commercial Joint Stock Bank,2010,JSCB,7481,282,277.07,7350.2,0.05,0,80550753,9389161,52927857,610995,1211067,1003907,96970446,150902210,0.04,0.03,0.04,7750034,2014094,754516,96132,737101,1587749,8600682,9764128,0.04,0.04,10934383,1961017,-387645,12507755,0.04,6.22,11.66,2.29,1.15,1.37,22.08,3.28,78.06,64.26,120.38,7.36,13943670,2743627,2072755
TCB,Viet Nam Technological and Commercial Joint Stock Bank,2011,JSCB,8335,,378.38,,0.05,,88647779,12511735,63451465,889059,1793656,1191224,116777533,181420222,0.04,0.03,0.04,14650198,2632742,1181254,145370,772574,2099198,15976822,17282940,0.04,0.04,19948573,1897344,-341864,21504053,0.05,6.9,14.11,2.83,1.4,1.74,25.21,4.54,80.37,64.37,131.73,-11.56,18734603,4221113,3153766
TCB,Viet Nam Technological and Commercial Joint Stock Bank,2012,JSCB,7168,322,106.82,2377.91,0.04,0.02,111642288,13289576,68261442,1125135,1840472,1146424,111650867,181058733,0.04,0.03,0.04,12507291,4036157,1388235,197180,1708626,3294041,14092706,16543448,0.04,0.04,17622864,1387921,-1449481,17561304,0.04,7.34,11.9,2.7,1.65,0.42,5.76,4.58,94.2,61.67,100.01,3,22188491,1017856,765686
TCB,Viet Nam Technological and Commercial Joint Stock Bank,2013,JSCB,7290,321,90.41,2053.18,0.04,0.02,119977924,13920069,70274919,1186239,2566244,1032737,88775246,160082902,0.04,0.02,0.03,8945643,4093975,1385789,287287,1682590,3355666,10618719,13039618,0.04,0.04,13281305,2050483,-1413964,13917824,0.04,8.7,11.6,3.65,1.69,0.41,4.73,4.88,93.69,55.46,73.99,28.62,29339291,878206,659071
TCB,Viet Nam Technological and Commercial Joint Stock Bank,2014,JSCB,7419,318,145.82,3402.07,0.04,0.02,131689810,14986050,80307567,959777,1913836,1036505,95517499,176861571,0.03,0.02,0.03,7158987,4951342,1626522,268867,1535656,3431045,9054376,12110329,0.03,0.04,12931617,2854099,-2258366,13527350,0.04,8.47,11.38,2.38,1.2,0.61,7.22,6.04,89.52,54.01,72.53,28.73,44298850,1417021,1081858
TCB,Viet Nam Technological and Commercial Joint Stock Bank,2015,JSCB,7616,319,200.79,4793.69,0.04,0.05,142239546,16457566,111625772,1164407,1863706,882081,80650156,193158009,0.03,0.03,0.03,6165707,4711255,1898079,276637,1508087,3682803,8340423,10876962,0.03,0.03,13374087,3164014,-3623934,12914167,0.03,8.52,11.57,1.67,1.04,0.79,9.29,8.94,84.23,41.75,56.7,37.68,55688834,2037205,1529188
TCB,Viet Nam Technological and Commercial Joint Stock Bank,2016,JSCB,,,,,,,173448929,19586476,142616004,1495475,,1582722,92659885,236858611,0.03,0.03,0.03,7593856,1282643,,,,,7593856,8876499,0.02,0.02,15736077,4973575,-3661091,17048561,0.04,8.27,11.29,,1.05,3.09,37.39,8.79,52.07,39.12,53.42,51.17,,8172062,7324268
TCB,Viet Nam Technological and Commercial Joint Stock Bank,2017,JSCB,,,,,,,170970833,26930745,160849037,1884581,,1511446,108916478,271276961,0.03,0.03,0.03,8664092,956317,,,,,8664092,9620409,0.02,0.02,17594504,8369711,-3609226,22354989,0.04,9.93,15.75,,1.17,4.11,41.38,8.2,43.03,40.15,63.7,43.99,,12734580,11143878
TCB,Viet Nam Technological and Commercial Joint Stock Bank,2018,JSCB,9757,317,868.5,26731.85,0.04,0.04,201414532,51782705,159939217,2385114,2803449,1718596,159331128,320988941,0.03,0.03,0.03,10023687,8271636,3239958,259603,2342946,5842507,13523248,18295323,0.03,0.03,21413626,9388958,-1846245,28956339,0.04,16.13,25.71,1.75,1.49,2.64,16.36,7.15,63.18,49.64,79.11,60.91,,10661016,8473997
TCB,Viet Nam Technological and Commercial Joint Stock Bank,2019,JSCB,11156,314,916.66,32567.54,0.04,0.03,231296761,62072767,230802027,2916744,3077876,3207777,149689657,383699461,0.03,0.03,0.04,10758497,11561915,4261656,254986,2795867,7312509,15275139,22320412,0.03,0.04,25016341,11059707,-917368,35158680,0.05,16.18,26.84,1.33,1.26,2.67,16.47,9.52,63.48,39.01,64.72,72.66,,12838268,10226209
TCB,Viet Nam Technological and Commercial Joint Stock Bank,2020,JSCB,11802,312,1066.13,40328.42,0.04,0.03,277458651,74614786,277524615,2214248,1295192,4613423,157464895,439602933,0.03,0.03,0.04,10250703,13671664,5151106,512142,2967947,8631195,15913951,23922367,0.03,0.04,29001912,13331786,-2611035,39722663,0.05,16.97,26.89,0.47,0.8,2.86,16.86,11.91,60.22,35.82,56.75,69.73,,15800296,12582467
TCB,Viet Nam Technological and Commercial Joint Stock Bank,2021,JSCB,12506,310,1471.19,59350.8,0.05,0.04,314752525,93055837,347341244,3735663,2293874,7224480,214245711,568811435,0.04,0.04,0.05,8804638,15571085,6356228,608149,4208969,11173346,15769015,24375723,0.04,0.05,35503251,14775451,-2664603,47614099,0.06,16.36,29.56,0.66,1.08,3.23,19.77,12.46,51.19,37.67,68.07,73.47,,23238376,18398747
TCB,Viet Nam Technological and Commercial Joint Stock Bank,2022,JSCB,12339,303,1656.25,67446.95,0.04,0.04,358403785,113424966,420523705,4771449,3032605,8411382,214245711,643180798,0.04,0.04,0.05,14462861,18043435,6515485,757167,6125366,13398018,21735513,32506296,0.04,0.05,44752636,15257722,-1936294,58074064,0.06,17.64,31.65,0.72,1.13,3.18,18.02,14.14,55.97,33.31,59.78,46.64,932609068,25567768,20436426
TNB,VietNam Tin Nghia Commercial Joint Stock Bank,2007,JSCB,,,,,,,1037577,628979,2768469,11550,11550,22377,1396708,4187554,0,0,0,186098,293,,,,,186098,186391,0,0,299941,7097,-12540,294498,0,15.02,60.62,0.42,0.42,2.12,14.13,8.15,63.29,33.35,134.61,-27.29,3558575,108107,88892
TNB,VietNam Tin Nghia Commercial Joint Stock Bank,2008,JSCB,271,14,156.49,3029.29,0,0,2126713,600212,3937579,32008,426267,22497,1071816,5031892,0,0,0,680208,22833,18784,,,18784,698992,703041,0,0,759164,17919,-25978,751105,0,11.93,28.22,10.83,0.81,0.84,7.07,7.37,93.6,21.3,50.4,6.86,4431680,48064,42410
TNB,VietNam Tin Nghia Commercial Joint Stock Bank,2009,JSCB,555,29,465.14,8901.72,0,0,6642225,3617447,9644747,90449,166048,151581,6143811,15940139,0,0.01,0.01,892013,54935,51853,,,51853,943866,946948,0.01,0.01,1302321,27158,-61972,1267507,0.01,22.69,54.46,1.72,0.94,1.62,7.14,6.68,74.71,38.54,92.5,12.33,12322692,320559,258150
TNB,VietNam Tin Nghia Commercial Joint Stock Bank,2010,JSCB,1042,76,647.12,8872.39,0.01,0,25546044,3902020,26233278,239994,239994,193600,19987039,46413917,0.01,0.01,0.01,2950085,121000,,,,,2950085,3071085,0.01,0.01,3971366,53552,-151707,3873211,0.01,8.41,15.27,0.91,0.91,1.45,17.28,5.11,79.29,43.06,78.24,4.45,42511897,802126,674302
TPB,TienPhong Commercial Joint Stock Bank,2008,JSCB,246,,205.33,,0,,1171844,1020728,275493,152,152,58513,2084636,2418642,0,0,0,73075,58185,19571,5638,27600,52809,98284,131260,0,0,198427,562,-352,198637,0,42.2,87.1,0.06,0.06,2.09,4.95,6.01,66.08,86.19,177.89,49.51,,67377,50512
TPB,TienPhong Commercial Joint Stock Bank,2009,JSCB,411,16,311.94,8012.88,0,0,4230311,1638087,3192582,21052,21052,106606,7429344,10728532,0,0,0.01,279807,129776,45697,15553,62588,123838,341057,409583,0,0,496277,98720,-20700,574297,0,15.27,38.72,0.66,0.66,1.2,7.83,2.91,71.32,69.25,175.62,-39.73,,164714,128206
TPB,TienPhong Commercial Joint Stock Bank,2010,JSCB,716,,225.81,,0.01,,7557457,3197582,5224779,68820,957,112685,15551790,20889254,0,0,0.01,1006220,230021,69522,22047,105059,196628,1097789,1236241,0.01,0.01,1218926,279714,-48905,1449735,0.01,15.31,42.31,0.02,1.32,0.77,5.06,1.37,85.27,74.45,205.78,-43.14,,213494,161678
TPB,TienPhong Commercial Joint Stock Bank,2011,JSCB,809,30,-1695.44,-45720.4,0.01,0,6242227,1672654,3664471,60441,24670,73120,21147661,24885252,0,0,0.01,2451374,1484727,106531,26366,1160165,1293062,2584271,3936101,0.01,0.02,2291801,366221,-93533,2564489,0.01,6.72,26.8,0.67,1.65,-5.51,-82,-0.75,153.48,84.98,338.78,-70.8,,-1371612,-1371612
TPB,TienPhong Commercial Joint Stock Bank,2012,JSCB,831,,140.01,,0,,9269925,3319007,6083030,92672,222791,69066,8968274,15120370,0,0,0,1105678,394618,124571,27326,173655,325552,1257575,1500296,0,0,1380296,308943,-72591,1616648,0,21.95,35.8,3.66,1.52,0.77,3.51,3.06,92.8,59.31,96.75,32.92,,116352,116352
TPB,TienPhong Commercial Joint Stock Bank,2013,JSCB,1183,34,322.39,11217.24,0.01,0,14331681,3700670,11925991,116943,116943,68366,20093682,32088039,0.01,0,0.01,1069426,444696,192265,27147,203723,423135,1288838,1514122,0,0,1666866,313429,-84787,1895508,0,11.53,25.82,0.98,0.98,1.19,10.31,2.97,79.88,62.62,140.2,-23.9,,381386,381386
TPB,TienPhong Commercial Joint Stock Bank,2014,JSCB,1910,39,280.56,13740.46,0.01,0,21623430,4236547,19838991,199158,199158,79024,31559541,51477556,0.01,0.01,0.01,1352368,714613,283500,23019,358703,665222,1658887,2066981,0.01,0.01,2331539,221694,49626,2602859,0.01,8.23,19.59,1,1,1.04,12.65,3.1,79.41,61.31,145.95,-38.83,,535878,535878
TPB,TienPhong Commercial Joint Stock Bank,2015,JSCB,2697,44,208.44,12776.36,0.01,0,39505447,4798665,28240322,-262658,262658,134016,47846496,76220834,0.01,0.01,0.01,1918454,847293,345126,29260,420407,794793,2292840,2765747,0.01,0.01,3321373,204804,-134767,3391410,0.01,6.3,12.15,0.93,-0.93,0.74,11.71,2.93,81.55,62.77,121.11,-16.77,,625663,562160
TPB,TienPhong Commercial Joint Stock Bank,2016,JSCB,,,,,,,55082028,5681486,46642977,-409351,409351,144374,106046986,152834337,0.01,0.01,0.02,3052861,1398567,582714,42801,705061,1330576,3678376,4451428,0.01,0.01,5173686,256031,-271735,5157982,0.01,3.72,10.31,0.88,-0.88,0.37,9.95,2,86.3,69.39,192.53,-14.97,,706554,565211
TPB,TienPhong Commercial Joint Stock Bank,2017,JSCB,,,,,,,70298586,6676717,63422643,-674646,674646,250772,60445332,124118747,0.01,0.01,0.02,4152181,121878,,,,,4152181,4274059,0.01,0.01,7324605,559180,-462412,7421373,0.02,5.38,9.5,1.06,-1.06,2.34,43.51,5.25,57.59,48.7,85.98,0.49,,3147314,2905212
TPB,TienPhong Commercial Joint Stock Bank,2018,JSCB,4985,77,362.08,23441.03,0.02,0.02,76138062,10621685,77185148,889911,889911,300052,58694203,136179403,0.01,0.01,0.02,4996062,3044915,1509599,88818,1248271,2846688,6594479,8040977,0.02,0.02,9373839,1446971,-522332,10298478,0.02,7.8,13.95,1.15,1.15,1.33,16.99,7.46,78.08,43.1,77.09,42.54,,2257501,1804959
TPB,TienPhong Commercial Joint Stock Bank,2019,JSCB,6200,77,499.01,40179.77,0.02,0.01,92439495,13074679,95643700,1208318,1208318,570994,68223840,164438534,0.01,0.02,0.02,6217441,3915789,1816921,147218,1339186,3303325,8181580,10133230,0.02,0.02,11850763,3448605,-1297949,14001419,0.02,7.95,14.14,1.26,1.26,1.88,23.66,8.26,72.37,41.49,73.8,44.82,,3868189,3093842
TPB,TienPhong Commercial Joint Stock Bank,2020,JSCB,7194,87,487.85,40339.97,0.02,0.01,115903526,16744398,119990991,1906381,1906381,708842,85614761,206314594,0.02,0.02,0.02,7209178,5202465,2254907,211559,1730827,4197293,9675644,12411643,0.02,0.02,14828235,3754692,-1783373,16799554,0.02,8.12,14.45,1.59,1.59,1.7,20.96,8.9,73.88,41.5,73.87,42.58,,4387911,3509577
TPB,TienPhong Commercial Joint Stock Bank,2021,JSCB,7505,122,643.46,39583.43,0.03,0.01,139562262,25987070,141227857,1765292,1765292,788613,150810608,292827078,0.02,0.02,0.03,7480768,5537903,2537952,257062,1775682,4570696,10275782,13018671,0.02,0.02,17426817,4538566,-2908490,19056893,0.02,8.87,18.62,1.25,1.25,1.65,18.58,6.6,68.31,51.5,108.06,33.86,,6038222,4829179
TPB,TienPhong Commercial Joint Stock Bank,2022,JSCB,8686,180,720.79,34781.91,0.03,0.02,194959921,32238981,160992963,1832588,1832588,1205386,166435658,328634007,0.02,0.02,0.02,10424418,7472386,3201585,310816,2432856,5945257,13936819,17896804,0.03,0.03,21811015,5757721,-1843644,25725092,0.03,9.81,16.54,1.14,1.14,1.91,19.42,6.84,69.57,50.64,85.37,40.76,,7828288,6260744
VAB,Viet A Joint Stock Commercial Bank,2004,JSCB,,,,,,,1149260,235145,1340853,1353,1353,17150,402566,1760569,0,0,0,68787,20090,8280,646,10359,19285,77713,88877,0,0,116083,,-948,115135,0,13.36,20.46,0.1,0.1,1.01,7.57,11.75,77.19,22.87,35.03,42.48,13232,26258,17808
VAB,Viet A Joint Stock Commercial Bank,2005,JSCB,,,,,,,1560980,316388,1663608,4360,4360,39186,655084,2357878,0,0,0,,36178,11927,1801,16597,30325,13728,36178,0,0,,,-5686,-5686,0,13.42,20.27,0.26,0.26,-2.21,-16.5,,-636.26,27.78,41.97,41.28,18992,-41864,-52207
VAB,Viet A Joint Stock Commercial Bank,2006,JSCB,,,,,,,2529469,756950,2730263,17263,17263,46707,1403862,4180832,0,0,0,192672,1974,,,,,192672,194646,0,0,274992,60144,-12926,322210,0,18.11,29.93,0.63,0.63,2.62,14.45,5.86,60.41,33.58,55.5,30.7,36055,127564,109360
VAB,Viet A Joint Stock Commercial Bank,2007,JSCB,,,,,,,4576798,1327258,5764145,21051,21051,96069,3607161,9467375,0,0.01,0.01,474860,4309,,,,,474860,479169,0.01,0.01,648640,139626,-12687,775579,0.01,14.02,29,0.37,0.37,2.57,18.31,4.82,61.78,38.1,78.81,10.66,76079,296410,242963
VAB,Viet A Joint Stock Commercial Bank,2008,JSCB,1000,,72.18,,0.01,,7447585,1440412,6632574,59291,119325,149396,3493927,10275897,0.01,0.01,0.01,833026,162361,75929,7760,71704,155393,916715,995387,0.01,0.01,1031749,92527,-39298,1084978,0.01,14.02,19.34,1.8,0.89,0.7,5.01,5.69,91.74,34,46.91,53.66,76560,89591,72182
VAB,Viet A Joint Stock Commercial Bank,2009,JSCB,1370,59,153.28,3559.24,0.01,0,10809533,1714850,12041505,122110,157960,291687,3483533,15816725,0.01,0.01,0.01,665385,222925,101579,14005,97909,213493,780969,888310,0.01,0.01,1015237,210670,-63541,1162366,0.01,10.84,15.86,1.31,1.01,1.33,12.25,10.04,76.42,22.02,32.23,55.83,242812,274056,209995
VAB,Viet A Joint Stock Commercial Bank,2010,JSCB,1606,75,165.92,3552.83,0.01,0,9394525,3395465,13290473,198816,334687,351116,10441327,24082916,0,0.01,0.01,1129831,317100,139937,39549,127518,307004,1309317,1446931,0.01,0.01,1661700,209445,-77047,1794098,0.01,14.1,36.14,2.52,1.5,1.11,7.85,5.09,80.65,43.36,111.14,-8.18,203307,347167,266462
VAB,Viet A Joint Stock Commercial Bank,2011,JSCB,,,,,,,7246739,3576096,11578215,189505,189505,340276,10594607,22513098,0,0,0.01,2095102,15685,,,,,2095102,2110787,0.01,0.01,2591278,173727,,2765005,0.01,15.88,49.35,1.64,1.64,2.57,16.18,4.68,76.34,47.06,146.2,-14.99,1367059,654218,578684
VAB,Viet A Joint Stock Commercial Bank,2012,JSCB,,,,,,,14997980,3533053,12890233,196641,196641,337391,11381025,24608649,0.01,0,0.01,1716532,11156,,,,,1716532,1727688,0.01,0,2033433,230705,-6868,2257270,0.01,14.36,23.56,1.53,1.53,1.96,13.65,2.78,76.54,46.25,75.88,28.11,117000,529582,482208
VAB,Viet A Joint Stock Commercial Bank,2013,JSCB,,,,,,,18822074,3588463,14388442,192885,192885,224042,12420148,27032632,0.01,0,0.01,1335527,74276,,,,,1335527,1409803,0,0,1802449,56909,-30203,1829155,0,13.27,19.07,1.34,1.34,1.49,11.24,3.76,77.07,45.95,65.99,24.94,76015,419352,403404
VAB,Viet A Joint Stock Commercial Bank,2014,JSCB,1663,85,28.56,558.79,0.01,0,19779746,3635957,15821971,188787,367995,228609,19539932,35590512,0.01,0,0.01,1443214,358426,191111,30497,126045,347653,1664822,1801640,0.01,0.01,1841995,32144,-12161,1861978,0,10.22,18.38,2.33,1.19,0.13,1.31,2.04,96.76,54.9,98.79,-16.63,93223,60338,47497
VAB,Viet A Joint Stock Commercial Bank,2015,JSCB,1653,85,49.59,964.29,0.01,0.01,24439800,3919558,20267712,228011,458780,278542,21331925,41878179,0.01,0.01,0.01,1768795,601660,233807,31360,173710,438877,2033962,2370455,0.01,0.01,2871174,-64274,-321117,2485783,0.01,9.36,16.04,2.26,1.12,0.2,2.09,5.17,95.36,50.94,87.28,-3.67,549277,115328,81965
VAB,Viet A Joint Stock Commercial Bank,2016,JSCB,,,,,,,32189716,4017652,30415690,410071,651024,244342,30805160,61465192,0.01,0.01,0.01,2307664,837737,,362676,485257,847933,2670340,3145401,0.01,0.01,3141131,169257,-362676,2947712,0.01,6.54,12.48,2.14,1.35,-0.33,-5.1,2.71,106.71,50.12,95.7,-13.8,,-197689,-204741
VAB,Viet A Joint Stock Commercial Bank,2017,JSCB,,,,,,,34402403,4116453,34226236,327698,915722,216895,29991029,64434160,0.01,0.01,0.01,2986215,790331,,308121,558703,866824,3294336,3776546,0.01,0.01,4130321,-40595,-308122,3781604,0.01,6.39,11.97,2.68,0.96,-0.03,-0.44,3.81,99.87,46.55,87.18,-3.27,,5058,-17971
VAB,Viet A Joint Stock Commercial Bank,2018,JSCB,,,,,,,41367098,4234869,37522475,393643,,195390,33573451,71291316,0.01,0.01,0.01,3134388,589121,,,564181,564181,3134388,3723509,0.01,0.01,4244311,94313,-464588,3874036,0.01,5.94,10.24,,1.05,0.17,2.8,3.31,96.11,47.09,81.16,40.41,,150527,118415
VAB,Viet A Joint Stock Commercial Bank,2019,JSCB,,167,,1241.89,,0.02,47428710,4442266,42159555,465717,,196518,34090691,76446764,0.01,0.01,0.01,3899112,645234,,,601332,601332,3899112,4544346,0.01,0.01,4918276,267822,-365935,4820163,0.01,5.81,9.37,,1.1,0.27,4.67,2.99,94.28,44.59,71.88,39.85,,275817,207396
VAB,Viet A Joint Stock Commercial Bank,2020,JSCB,1443,,259.67,,0,,59271860,5723928,47808006,570537,1111841,207724,38513620,86529350,0.01,0.01,0.01,4477576,655359,289529,21436,305717,616682,4788541,5132935,0.01,0.01,5788356,552314,-757571,5583099,0.01,6.62,9.66,2.33,1.19,0.43,6.55,3.4,91.94,44.51,64.98,49.53,,450164,374705
VAB,Viet A Joint Stock Commercial Bank,2021,JSCB,1485,98,445.72,6753.98,0.01,0.01,67690999,6377817,53853930,604802,1027957,212453,46966886,101033269,0.01,0.01,0.01,3928521,699597,311201,25282,325020,661503,4265004,4628118,0.01,0.01,5479828,460643,-472641,5467830,0.01,6.31,9.42,1.91,1.12,0.66,10.38,3.3,84.64,46.49,69.38,51.12,,839712,661890
VAB,Viet A Joint Stock Commercial Bank,2022,JSCB,1467,97,605.55,9158.09,0.01,0.01,70208558,7261906,61824957,683161,957354,204658,43117941,105147556,0.01,0.01,0.01,4307488,856063,347398,29486,439534,816418,4684372,5163551,0.01,0.01,5797026,535854,-61492,6271388,0.01,6.91,10.34,1.55,1.1,0.84,12.23,3.45,82.34,41.01,61.41,32.14,,1107837,888335
VBSP,Vietnam Bank for Social Policies,2003,JSCB,,,,,,,637114,3912896,2003408,,,88797,8639840,10732045,0,0.01,0.02,272963,419885,83051,43998,56605,183654,400012,692848,0.02,0.03,436628,237975,-18361,656242,0.03,36.46,614.16,,,-0.34,-0.94,1.89,105.58,80.51,1356.09,-75.85,,-36606,-36606
VBSP,Vietnam Bank for Social Policies,2004,JSCB,5674,,-11.38,,0.11,,1491428,4787970,13484332,,,142981,1902095,15529408,0,0.04,0.03,486517,657367,209542,77704,92087,379333,773763,1143884,0.03,0.04,602872,512578,-36108,1079342,0.03,30.83,321.03,,,-0.42,-1.35,6.12,105.98,12.25,127.54,-16.09,,-64542,-64542
VBSP,Vietnam Bank for Social Policies,2005,JSCB,6814,656,9.95,103.32,0.1,0.18,1718828,5905973,17361990,57053,57053,334896,2601128,20298014,0,0.04,0.03,717837,905844,301176,194453,140820,636449,1213466,1623681,0.04,0.04,804858,925533,-38934,1691457,0.04,29.1,343.6,0.33,0.33,0.33,1.15,3.35,95.99,12.81,151.33,-24.28,,67776,67776
VBSP,Vietnam Bank for Social Policies,2006,JSCB,7155,661,6.79,73.54,0.1,0.17,1682140,7980001,22723394,67317,67317,409364,2341748,25474506,0,0.04,0.03,1049874,1181658,433054,261806,140068,834928,1744734,2231532,0.03,0.04,1186889,1108577,-15321,2280145,0.03,31.33,474.4,0.3,0.3,0.19,0.61,5.85,97.87,9.19,139.21,-21.86,,48613,48613
VBSP,Vietnam Bank for Social Policies,2007,JSCB,,,,,,,1990170,9867254,33150153,,,463973,2441461,36055587,0,0.04,0.02,1187769,1564240,641783,305115,174495,1121393,2134667,2752009,0.03,0.03,1903795,998748,-30198,2872345,0.03,27.37,495.8,,,0.33,1.22,29.33,95.81,6.77,122.68,-22.17,,120336,120336
VBSP,Vietnam Bank for Social Policies,2008,JSCB,,193074,,1.12,,0.98,986735,12903551,50535919,,,1118895,3054054,54708868,0,0.05,0.03,1645416,2086758,987244,248429,212669,1448342,2881089,3732174,0.02,0.02,2954748,1364083,-370107,3948724,0.02,23.59,1307.7,,,0.4,1.68,42.87,94.52,5.58,309.51,-36.55,,216550,216550
VBSP,Vietnam Bank for Social Policies,2009,JSCB,,194462,,1.18,,0.97,1124738,16312536,72660000,2553443,2553443,1437505,2802711,76900216,0,0.05,0.03,1960518,2543238,1093694,342860,240179,1676733,3397072,4503756,0.02,0.03,3633370,1518139,-417607,4733902,0.02,21.21,1450.34,3.51,3.51,0.3,1.41,59.69,95.14,3.64,249.19,-23.25,,230146,230146
VBSP,Vietnam Bank for Social Policies,2010,JSCB,,199689,,3.89,,0.96,1975014,18371331,89462000,3269071,1078000,1689008,3917233,95068241,0,0.04,0.03,3417677,3114014,1471619,306414,256165,2034198,5195710,6531691,0.02,0.03,4266462,3789168,-747308,7308322,0.02,19.32,930.19,1.2,3.65,0.82,4.23,21.67,89.37,4.12,198.34,-12.03,,776631,776631
VBSP,Vietnam Bank for Social Policies,2011,JSCB,,10765,,37.28,,0.58,2843140,19473046,103096659,135564,135564,1751069,2734785,107582513,0,0.04,0.03,5145718,3568418,1699075,314835,284197,2298107,7159628,8714136,0.02,0.02,5709333,4190322,-784232,9115423,0.02,18.1,684.91,0.13,0.13,0.37,2.06,20.61,95.6,2.54,96.19,-11.46,,401287,401287
VBSP,Vietnam Bank for Social Policies,2012,JSCB,,11543,,58.01,,0.63,4046408,22203072,113167054,228188,228188,1913590,7407814,122488458,0,0.04,0.03,6338427,4199777,2093359,360964,307331,2761654,8792750,10538204,0.03,0.03,7364361,3897559,-54125,11207795,0.03,18.13,548.71,0.2,0.2,0.55,3.02,13.85,94.03,6.05,183.07,-12.25,,669591,669591
VBSP,Vietnam Bank for Social Policies,2013,JSCB,,11688,,15.05,,0.63,4617189,27642024,120416528,350667,350667,2002142,7142263,129560933,0,0.04,0.03,6652532,4746566,2135065,350646,358763,2844474,9138243,11399098,0.03,0.03,8754526,3470939,-650501,11574964,0.03,21.34,598.68,0.29,0.29,0.14,0.64,29.43,98.48,5.51,154.69,-6.43,,175866,175866
VBSP,Vietnam Bank for Social Policies,2014,JSCB,,11693,,31.2,,0.65,6263352,27605371,127708396,603473,603473,2141374,7203844,137053614,0,0.04,0.02,6167201,5174484,2346279,357326,360094,3063699,8870806,11341685,0.03,0.03,9777568,2367809,-438916,11706461,0.03,20.14,440.74,0.47,0.47,0.27,1.32,50.12,96.88,5.26,115.02,-7.66,,364776,364776
VBSP,Vietnam Bank for Social Policies,2015,JSCB,,,,,,,8177296,30287389,140652147,639191,639191,2113182,4336273,147101602,0,0.04,0.02,-5722991,5255775,2378556,383624,395323,3157503,-2960811,-467216,-0.01,0,10591162,1262446,-400748,11452860,0.03,20.59,370.38,0.45,0.45,8.1,39.36,112.27,-4.08,2.95,53.03,-4.42,,11920076,11920076
VBSP,Vietnam Bank for Social Policies,2018,JSCB,,,,,,,1124738,16542682,,,,1437505,72909268,74346773,0,,0.01,1960518,2720667,,,,,1960518,4681185,0,0.01,3633370,1518139,,5151509,0.01,22.25,1470.8,,,0.63,2.84,2.29,90.87,98.07,6482.33,44.8,,470324,470324
